brand,series,model,power_stc_w,vmp_stc_v,imp_stc_a,voc_stc_v,isc_stc_a,temp_coeff_pmax_pct_c,temp_coeff_voc_pct_c,temp_coeff_isc_pct_c,module_length_mm,module_width_mm,module_depth_mm,data_status,notes
SunPro,SPDG N-type,SPDG430-N108M10,430,,,,,,,,1722,1134,30,dimension_series_filled,Panel catalog model; datasheet parameters pending. Dimensions filled by module series size for layout; verify full datasheet before final commercial design.
SunPro,SPDG N-type,SPDG435-N108M10,435,,,,,,,,1722,1134,30,dimension_series_filled,Panel catalog model; datasheet parameters pending. Dimensions filled by module series size for layout; verify full datasheet before final commercial design.
SunPro,SPDG N-type,SPDG440-N108M10,440,,,,,,,,1722,1134,30,dimension_series_filled,Panel catalog model; datasheet parameters pending. Dimensions filled by module series size for layout; verify full datasheet before final commercial design.
SunPro,SPDG N-type,SPDG570-N144M10,570,,,,,,,,2278,1134,35,dimension_series_filled,Panel catalog model; datasheet parameters pending. Dimensions filled by module series size for layout; verify full datasheet before final commercial design.
SunPro,SPDG N-type,SPDG575-N144M10,575,,,,,,,,2278,1134,35,dimension_series_filled,Panel catalog model; datasheet parameters pending. Dimensions filled by module series size for layout; verify full datasheet before final commercial design.
SunPro,SPDG N-type,SPDG580-N144M10,580,,,,,,,,2278,1134,35,dimension_series_filled,Panel catalog model; datasheet parameters pending. Dimensions filled by module series size for layout; verify full datasheet before final commercial design.
SunPro,SPDG N-type,SPDG585-N144M10,585,,,,,,,,2278,1134,35,dimension_series_filled,Panel catalog model; datasheet parameters pending. Dimensions filled by module series size for layout; verify full datasheet before final commercial design.
