brand,series,model,power_stc_w,vmp_stc_v,imp_stc_a,voc_stc_v,isc_stc_a,temp_coeff_pmax_pct_c,temp_coeff_voc_pct_c,temp_coeff_isc_pct_c,module_length_mm,module_width_mm,module_depth_mm,data_status,notes
Jinko,Tiger Neo N-type 72HL4-BDV-F9,JKM575N-72HL4-BDV-F9,575,43.73,13.15,52.30,13.89,-0.29,-0.25,0.045,2278,1134,30,datasheet_local_pdf_verified,Local PDF: JKM575-600N-72HL4-BDV-F9-EN.pdf
Jinko,Tiger Neo N-type 72HL4-BDV-F9,JKM580N-72HL4-BDV-F9,580,43.88,13.22,52.50,13.95,-0.29,-0.25,0.045,2278,1134,30,datasheet_local_pdf_verified,Local PDF: JKM575-600N-72HL4-BDV-F9-EN.pdf
Jinko,Tiger Neo N-type 72HL4-BDV-F9,JKM585N-72HL4-BDV-F9,585,44.02,13.29,52.70,14.01,-0.29,-0.25,0.045,2278,1134,30,datasheet_local_pdf_verified,Local PDF: JKM575-600N-72HL4-BDV-F9-EN.pdf
Jinko,Tiger Neo N-type 72HL4-BDV-F9,JKM590N-72HL4-BDV-F9,590,44.17,13.36,52.90,14.07,-0.29,-0.25,0.045,2278,1134,30,datasheet_local_pdf_verified,Local PDF: JKM575-600N-72HL4-BDV-F9-EN.pdf
Jinko,Tiger Neo N-type 72HL4-BDV-F9,JKM595N-72HL4-BDV-F9,595,44.31,13.43,53.10,14.13,-0.29,-0.25,0.045,2278,1134,30,datasheet_local_pdf_verified,Local PDF: JKM575-600N-72HL4-BDV-F9-EN.pdf
Jinko,Tiger Neo N-type 72HL4-BDV-F9,JKM600N-72HL4-BDV-F9,600,44.45,13.50,53.30,14.19,-0.29,-0.25,0.045,2278,1134,30,datasheet_local_pdf_verified,Local PDF: JKM575-600N-72HL4-BDV-F9-EN.pdf
